"Coauthor","Paper","Journal","AuthorID","PaperID"
"AnVLe;JohnDWilkins;StephenMMatyas","Design of the Commercial Data Masking Facility Data Privacy Algorithm ","ACM Conference Computer and Communications Security","10","1"
"AnVLe;JohnDWilkins;StephenMMatyas","A Public Key Extension to the Common Cryptographic Architecture ","IBM Systems Journal","10","2"
"GeorgeMDolan","Transaction Security System Extensions to the Common Cryptographic Architecture ","IBM Systems Journal","10","3"
"AnVLe;GeorgeMDolan;MichaelJKelly;StephenMMatyas","Common Cryptographic Architecture Cryptographic Application Programming Interface ","IBM Systems Journal","10","4"
"DavidJLilja;JohnRiedl","A Distributed Hardware Mechanism for Process Synchronization on Shared-Bus Multiprocessors ","ICPP International Conference Parallel Processing","11","5"
"DavidJLilja;JohnRiedl","A Circulating Active Barrier Synchronization Mechanism ","ICPP International Conference Parallel Processing","11","6"
"DavidJLilja;JamesAnderson;JohnRiedl","Low-Cost, High-Performance Barrier Synchronization on Networks of Workstations ","J Parallel Distrib Comput","11","7"
"DanielRLBrown","Formal Security Proofs for a Signature Scheme with Partial Message Recovery ","RSA","12","8"
"","AES and Future Resiliency: More Thoughts and Questions ","AES Candidate Conference","12","9"
"BrianKingsbury;JamesBeck;JohnWawrzynek;KrsteAsanovic;NelsonMorgan","SPERT-II: A Vector Microprocessor System and its Application to Large Problems in Backpropagation Training ","NIPS Neural Information Processing Systems","13","10"
"BrianKingsbury;JamesBeck;JohnWawrzynek;KrsteAsanovic;NelsonMorgan","Spert-II: A Vector Microprocessor System ","IEEE Computer","13","11"
"","Trap Architectures for Lisp Systems ","LISP and Functional Programming","14","12"
"","The Case for a Read Barrier ","ASPLOS Architectural Support for Programming Languages and Operating Systems","14","13"
"CharlesBerman;JamesCoplien;JohnDaniels;KennethSRubin;LauraHill","Managing Object Oriented Projects - Panel Session ","OOPSLA Conference Object Oriented Programming Systems Languages and Applications","15","14"
"CharlesBerman;JamesCoplien;JohnDaniels;KennethSRubin;LauraHill","Object-oriented project management panel ","OOPS Messenger","15","15"
"","Network Design,","J Algorithms","1","16"
"","Interactive Proof Systems for Fun and Profit,","J Algorithms","1","17"
"","Updates, Updates, Updates,","J Algorithms","1","18"
"","Approximation Algorithms for Combinatorial Problems","STOC ACM Symposium Theory of Computing","1","19"
"DSJohnson;JKLenstra;AHGRinnooyKan","The Complexity of the Network Design Problem,","Networks","1","20"
"DSJohnson;FPPreparata","The Densest Hemisphere Problem,","Theoretical Comp Sci","1","21"
"DSJohnson","The Genealogy of Theoretical Computer Science,","SIGACT News","1","22"
"DSJohnson;MMinkoff;;SPhillips","The Prize Collecting Steiner Tree Problem: Theory and Practice,","Proc th Ann ACM SIAM Society for Industrial and Applied Mathematics Symp Discrete Algorithms","1","23"
"DSJohnson;LAMcGeoch","The Traveling Salesman Problem: A Case Study in Local Optimization,","Local Search Combinatorial Optimization E H L Aarts and J K Lenstra editors John Wiley and Sons Ltd","1","24"
"DSJohnson;AKlug","Testing Containment of Conjunctive Queries under Functional and Inclusion Dependencies,","Journal of Computer and Systems Sciences","1","25"
"MRGarey","Scheduling Tasks with Nonuniform Deadlines on Two Processors ","J ACM","1","26"
"DSJohnson","A Theoretician's Guide to the Experimental Analysis of Algorithms,"," Proceedings of the th and th DIMACS Implementation Challenges M Goldwasser D S Johnson and C C McGeoch Editors American Mathematical Society","1","27"
"MRGarey;RLGraham;DSJohnson","Some NP-Complete Geometric Problems,","Proc th Annual ACM Symp Theory of Computing","1","28"
"ClaireKenyon;J&aacute;nosCsirik","Better approximation algorithms for bin covering ","SODA Symposium Discrete Algorithms","1","29"
"MRGarey;DSJohnson;LStockmeyer","Some Simplified NP-Complete Graph Problems,","Theoretical Comp Sci","1","30"
"ClaireKenyon;J&aacute;nosCsirik;JamesBOrlin;PeterWShor;RichardRWeber","On the sum-of-squares algorithm for bin packing ","STOC ACM Symposium Theory of Computing","1","31"
"MRGarey","``Strong'' NP-Completeness Results: Motivation, Examples, and Implications ","J ACM","1","32"
"ClaireKenyon;J&aacute;nosCsirik;PeterWShor;RichardRWeber","A Self Organizing Bin Packing Heuristic ","ALENEX Algorithm Engineering and Experiments","1","33"
"MRGarey;DSJohnson;GLMiller;CHPapadimitriou","The Complexity of Coloring Circular Arcs and Chords,","SIAM Society for Industrial and Applied Mathematics J Algebraic and Discrete Methods","1","34"
"MRGarey;RLGraham;DSJohnson","The Complexity of Computing Steiner Minimal Trees,","SIAM Society for Industrial and Applied Mathematics J Appl Math","1","35"
"MRGarey;DSJohnson;RSethi","The Complexity of Flowshop and Jobshop Scheduling,","Math of Oper Research","1","36"
"MRGarey","The Complexity of Near-Optimal Graph Coloring ","J ACM","1","37"
"MRGarey;DSJohnson;HSWitsenhausen","The Complexity of the Generalized Lloyd-Max Problem,","IEEE Trans Information Theory IT","1","38"
"MRGarey;RobertEndreTarjan","The Planar Hamiltonian Circuit Problem is NP-Complete ","SIAM Society for Industrial and Applied Mathematics J Comput","1","39"
"","Approximation Algorithms for Combinatorial Problems ","J Comput Syst Sci","1","40"
"","Parallel Processing,","J Algorithms","1","41"
"","Partitioning, Covering, and Packing Problems,","J Algorithms","1","42"
"","Oracles, Bin Packing, and and Ordering Problems,","J Algorithms","1","43"
"","Randomized Algorithms and Complexity Classes,","J Algorithms","1","44"
"","Routing Problems,","J Algorithms","1","45"
"","Solving NP-Hard Problems Quickly On Average ,","J Algorithms","1","46"
"","The Many Faces of Polynomial Time,","J Algorithms","1","47"
"","The NP-Completeness Column: An Ongoing Guide ","J Algorithms","1","48"
"","The Story So Far,","J Algorithms","1","49"
"DanielJKleitman;JosephY-TLeung;SFAssmann","On a Dual Version of the One-Dimensional Bin Packing Problem ","J Algorithms","1","50"
