"Coauthor","Paper","Journal","AuthorID","PaperID"
"TerenceCFogarty","Self Adaptation of Mutation Rates in a Steady State Genetic Algorithm ","International Conference Evolutionary Computation","10","1"
"NKransnogor;JESmith"," MAFRA: A Java Memetic Algorithms Framework"," Workshops Proceedings of the International Genetic and Evolutionary Computation Conference GECCO editor A S Wu","10","2"
"NatalioKrasnogor","A Memetic Algorithm With Self-Adaptive Local Search: TSP as a case study ","GECCO The Genetic and Evolutionary Computation Conference","10","3"
"NKrasnogor;JESmith","Emergence of Profitable Search strategies Based on a Simple Inheritance Mechanism"," Spector L E Goodman A Wu W B Langdon H M Voigt M Gen S Sen M Dorigo S Pezeshk M Garzon and E editors Proceedings of the Genetic and Evolutionary Computation Conference GECCO The Genetic and Evolutionary Computation Conference San Francisco Computer Animation Morgan Kaufmann Publishers","10","4"
"NKrasnogor;WHart;JESmith;DPelta","Protein Structure Prediction With Evolutionary Algorithms"," Proceedings of Genetic and Evolutionary Computation Conference Banzhaf Daida Eiben Garzon Honovar Jakiela and Smith editors Morgan Kaufmann","10","5"
"NKrasnogor;JESmith;WEHart","Recent Advances in Memetic Algorithms"," Springer","10","6"
"JESmith","Co-Evolution of Memetic Algorithms : Initial Results"," Merelo Adamitis Beyer Fgenandez Villacans and Schwefel eds Parallel problem solving from Nature PPSN Parallel Problem Solving from Nature VII Springer Verlag LNCS","10","7"
"JESmith","Adaptively Parameterised Evolutionary Ststems: Self Adaptive Recombination and Mutation in a Steady State Genetic Algorithm"," Parallel Problem Solving from Nature IV eds Voigt Ebeling Rechenberg and Schwefel Springer Verlag","10","8"
"JESmith;TCFogarty"," Genetic Feature Selection for Clustering and Classification","IEE Colloquium Genetic Algorithms Image Processing Vision London IEE Digest","10","9"
"JESmith","Genetic Algorithms"," Handbook of Global Optimization volume Heuristic Approaches eds Romeijn and Pardalos Kluwer Academic Publishers ISBN","10","10"
"JESmith;MBartley","Microprocessor Design Verification by Two-Phase Evolution of Variable Length Tests"," Proceedings of the IEEE International Conference Evolutionary Computing IEEE Press","10","11"
"JESmith","Modelling GAs with Self Adaptive Mutation Rates"," Spector L E Goodman A Wu W B Langdon H M Voigt M Gen S Sen M Dorigo S Pezeshk M Garzon and E editors Proceedings of the Genetic and Evolutionary Computation Conference GECCO The Genetic and Evolutionary Computation Conference San Francisco Computer Animation Morgan Kaufmann Publishers","10","12"
"JESmith;TCFogarty"," An Adaptive Poly-Parental Recombination Strategy"," Evolutionary Computing ed Fogarty T C Springer Verlag","10","13"
"RESmith;JESmith","An examination of tuneable, random search landscapes"," Foundations of Genetic Algorithms V Banzhaf Reeves editors Morgan Kaufmann","10","14"
"RESmith;JESmith","New Methods for Tunable Random Landscapes"," Foundations of Genetic Algorithms Martin and Spears eds Morgan Kaufmann","10","15"
"JimSmith","On Appropriate Adaptation Levels for the Learning of Gene Linkage"," Journal of Genetic Programming and Evolvable Machines Number","10","16"
"JESmith","Parameter Perturbation Mechanisms in Binary Coded GAs with Self-Adaptive Mutation"," Rowe Poli DeJong Cotta eds Foundations of Genetic Algorithms Morgan Kauffman","10","17"
"JESmith"," Operator and Parameter Adaptation in Genetic Algorithms"," pp Soft Computing Springer Verlag","10","18"
"JESmith;TCFogarty","Recombination Strategy Adaptation via Evolution of Gene Linkage"," Proceedings of IEEE International Conference Evolutionary Computing","10","19"
"JESmith;FVavak","Replacement strategies in steady state genetic algorithms: dynamic environments"," p Journal of Computing Information Technology Special Issue Evolutionary Computing","10","20"
"JESmith;FVavak","Replacement strategies in steady state genetic algorithms: static environments"," Foundations of Genetic Algorithms V Banzhaf Reeves editors Morgan Kaufmann","10","21"
"JESmith;TCFogarty"," Self Adaptation of Mutation Rates in a Steady State Genetic Algorithm"," Proceedings of IEEE International Conference Evolutionary Computing IEEE Press","10","22"
"AStaggemeier;AClarke;UAickelin;JESmith","A hybrid genetic algorithm to solve a lot sizing and scheduling problem","Proceedings of the Conference of International Federation of Operational Research Societies","10","23"
"MCaleb-SollySteuer;PSmith","A Modified Neocognitron Network for Medical Signal Classification"," Proceedings of the International Conference Neural Networks and Expert Systems Medicine and HealthCare","10","24"
"MCaleb-SollySteuer;JEPSmith","An Alternative Approach for the Evaluation of the Neocognitron","Proceedings of the th European Symposium Artificial Neural Networks Bruges","10","25"
"CStone;JESmith","Strategy Parameter Variation in Self-Adaptation of Mutation Rates","pp Langdon et eds Proceedings of the Genetic and Evolutionary Computation Conference Morgan Kaufmann","10","26"
"ChristopherStone","Strategy Parameter Variety In Self-adaptation Of Mutation Rates ","GECCO The Genetic and Evolutionary Computation Conference","10","27"
"FrankVavak","Replacement Strategies in Steady State Genetic Algorithms: Static Environments ","FOGA Foundations of Genetic Algorithms Workshop","10","28"
"","Co-evolving Memetic Algorithms: Initial Investigations ","PPSN Parallel Problem Solving from Nature","10","29"
"","Co-Evolution of Memetic Algorithms for Protein Structure Prediction"," Hart Krasnogor and Smith eds Proceedings of the Third International Workshop Memetic Algorithms","10","30"
"PCaleb-Solly;JESmith","Adaptive Image Segmentation Based on Visual Interactive Feedback Learning"," I Parmee editor Proceedings of ACDM Springer Verlag","10","31"
